alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
Primary agent has reached destination!
alpha = 0.75, gamma = 1, trial = 12, reward = 12.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 2.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -1.0
alpha = 0.75, gamma = 1, trial = 13, reward = 0.0
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 13, reward = -0.5
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = -0.5
alpha = 0.75, gamma = 1, trial = 14, reward = 2.0
alpha = 0.75, gamma = 1, trial = 14, reward = 2.0
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = -0.5
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = -0.5
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = 2.0
alpha = 0.75, gamma = 1, trial = 14, reward = -0.5
alpha = 0.75, gamma = 1, trial = 14, reward = -1.0
alpha = 0.75, gamma = 1, trial = 14, reward = 0.0
alpha = 0.75, gamma = 1, trial = 14, reward = -0.5
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 14, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = 0.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = 0.0
alpha = 0.75, gamma = 1, trial = 15, reward = 0.0
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = -1.0
alpha = 0.75, gamma = 1, trial = 15, reward = -1.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = 0.0
alpha = 0.75, gamma = 1, trial = 15, reward = 2.0
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -0.5
alpha = 0.75, gamma = 1, trial = 15, reward = -1.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 15, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
